사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
20-Apr,1호선,150,서울역,775859,748330,139595,130554
20-Apr,1호선,151,시청,381606,384171,52670,50782
20-Apr,1호선,152,종각,706082,687093,96784,90826
20-Apr,1호선,153,종로3가,388837,368220,231829,220625
20-Apr,1호선,154,종로5가,315667,325844,200562,192744
20-Apr,1호선,155,동대문,187667,190186,97137,99317
20-Apr,1호선,156,신설동,240865,239399,90729,86446
20-Apr,1호선,157,제기동,199566,194428,215954,231300
20-Apr,1호선,158,청량리(서울시립대입구),283166,276754,222227,225805
20-Apr,1호선,159,동묘앞,109891,122030,124654,125843
20-Apr,2호선,201,시청,450214,454725,37129,33425
20-Apr,2호선,202,을지로입구,763783,793953,67368,62748
20-Apr,2호선,203,을지로3가,399344,403589,51720,50877
20-Apr,2호선,204,을지로4가,211060,213345,71136,69277
20-Apr,2호선,205,동대문역사문화공원(DDP),233818,263288,38972,40804
20-Apr,2호선,206,신당,253639,257741,73487,75546
20-Apr,2호선,207,상왕십리,267559,252850,45823,45725
20-Apr,2호선,208,왕십리(성동구청),340696,286893,38480,32973
20-Apr,2호선,209,한양대,144015,157874,9776,10205
20-Apr,2호선,210,뚝섬,424352,455448,43290,43808
20-Apr,2호선,211,성수,655184,729838,78169,79922
20-Apr,2호선,212,건대입구,800408,872176,65268,67494
20-Apr,2호선,213,구의(광진구청),485187,465247,75413,76990
20-Apr,2호선,214,강변(동서울터미널),676082,673317,83345,81844
20-Apr,2호선,215,잠실나루,254613,244434,53516,53616
20-Apr,2호선,216,잠실(송파구청),1422389,1379692,115451,110121
20-Apr,2호선,217,잠실새내,408366,419412,68086,68252
20-Apr,2호선,218,종합운동장,124211,134927,21348,22361
20-Apr,2호선,219,삼성(무역센터),992254,1023566,75529,68921
20-Apr,2호선,220,선릉,1064925,954337,168651,149755
20-Apr,2호선,221,역삼,935717,1047340,115249,116340
20-Apr,2호선,222,강남,1893747,1931393,126471,111384
20-Apr,2호선,223,교대(법원.검찰청),642711,721182,100251,111532
20-Apr,2호선,224,서초,402574,394789,48312,48508
20-Apr,2호선,225,방배,321319,332706,49110,47874
20-Apr,2호선,226,사당,755816,847268,121440,117937
20-Apr,2호선,227,낙성대(강감찬),576448,542225,75428,77118
20-Apr,2호선,228,서울대입구(관악구청),1000840,977588,138261,132834
20-Apr,2호선,229,봉천,469912,421275,105383,106512
20-Apr,2호선,230,신림,1403874,1336112,159581,160381
20-Apr,2호선,231,신대방,549084,517895,88920,90300
20-Apr,2호선,232,구로디지털단지,1265934,1261170,117762,119152
20-Apr,2호선,233,대림(구로구청),505128,510823,80723,84444
20-Apr,2호선,234,신도림,1021928,1010838,128620,121940
20-Apr,2호선,235,문래,407341,420002,53436,52915
20-Apr,2호선,236,영등포구청,437783,447232,71551,71102
20-Apr,2호선,237,당산,415631,475721,44772,48562
20-Apr,2호선,238,합정,680012,732794,48502,48049
20-Apr,2호선,239,홍대입구,1215864,1316632,68810,65931
20-Apr,2호선,240,신촌,711282,744171,85425,81895
20-Apr,2호선,241,이대,228601,236202,29125,30379
20-Apr,2호선,242,아현,172781,163201,44133,43693
20-Apr,2호선,243,충정로(경기대입구),187017,198082,34383,34483
20-Apr,2호선,244,용답,45615,44333,14050,13217
20-Apr,2호선,245,신답,28550,31598,7648,8010
20-Apr,2호선,246,신설동,56392,53554,24794,26568
20-Apr,2호선,247,도림천,22292,23414,4863,5127
20-Apr,2호선,248,양천구청,117100,121997,30390,31013
20-Apr,2호선,249,신정네거리,167234,172312,47696,49447
20-Apr,2호선,250,용두(동대문구청),34801,35832,18029,19415
20-Apr,3호선,309,지축,64562,61178,12107,13266
20-Apr,3호선,310,구파발,399966,376694,80024,76296
20-Apr,3호선,311,연신내,730185,682874,193010,187551
20-Apr,3호선,312,불광,289155,315065,97399,108406
20-Apr,3호선,313,녹번,260200,224354,49200,48788
20-Apr,3호선,314,홍제,306109,284375,103067,101725
20-Apr,3호선,315,무악재,67521,66344,20597,22331
20-Apr,3호선,316,독립문,111435,121299,52199,51809
20-Apr,3호선,317,경복궁(정부서울청사),346535,352705,50945,47819
20-Apr,3호선,318,안국,355403,380286,44665,46550
20-Apr,3호선,319,종로3가,180754,220747,40996,44914
20-Apr,3호선,320,을지로3가,186076,203446,38393,37366
20-Apr,3호선,321,충무로,15,0,1,0
20-Apr,3호선,322,동대입구,143973,159132,23085,26434
20-Apr,3호선,323,약수,239480,234528,56815,54451
20-Apr,3호선,324,금호,151083,138346,38392,37865
20-Apr,3호선,325,옥수,169584,173782,39502,39810
20-Apr,3호선,326,압구정,598084,654235,83764,81178
20-Apr,3호선,327,신사,627699,677263,51382,49090
20-Apr,3호선,328,잠원,103325,100430,23794,23040
20-Apr,3호선,329,고속터미널,842839,845237,99667,96512
20-Apr,3호선,330,교대(법원.검찰청),257763,175348,43856,27122
20-Apr,3호선,331,남부터미널(예술의전당),568513,586701,74290,74923
20-Apr,3호선,332,양재(서초구청),727613,789736,92836,94080
20-Apr,3호선,333,매봉,206666,200274,36475,33338
20-Apr,3호선,334,도곡,92121,96215,15878,14244
20-Apr,3호선,335,대치,192218,185505,37575,35556
20-Apr,3호선,336,학여울,28265,28971,8891,8562
20-Apr,3호선,337,대청,169543,153245,37462,35551
20-Apr,3호선,338,일원,153106,150346,38232,37996
20-Apr,3호선,339,수서,288110,293846,68230,67384
20-Apr,3호선,340,가락시장,151513,148756,52206,50803
20-Apr,3호선,341,경찰병원,136998,135772,27892,28472
20-Apr,3호선,342,오금,122099,106890,19024,18207
20-Apr,4호선,409,당고개,229045,207186,69440,69104
20-Apr,4호선,410,상계,370211,331032,86309,84324
20-Apr,4호선,411,노원,401649,464716,63394,62820
20-Apr,4호선,412,창동,477028,506857,138919,144528
20-Apr,4호선,413,쌍문,603610,528878,117781,116388
20-Apr,4호선,414,수유(강북구청),687854,677063,148659,148273
20-Apr,4호선,415,미아(서울사이버대학),274876,256558,86123,87301
20-Apr,4호선,416,미아사거리,539045,519062,134809,132948
20-Apr,4호선,417,길음,377622,351291,80663,81070
20-Apr,4호선,418,성신여대입구(돈암),407398,386591,61748,59934
20-Apr,4호선,419,한성대입구(삼선교),253817,250796,51413,51057
20-Apr,4호선,420,혜화,584572,603325,86574,84543
20-Apr,4호선,421,동대문,359326,377624,122010,114634
20-Apr,4호선,422,동대문역사문화공원(DDP),309277,293345,40325,36259
20-Apr,4호선,423,충무로,492170,519335,87597,87971
20-Apr,4호선,424,명동,342220,365304,38146,38439
20-Apr,4호선,425,회현(남대문시장),401941,441140,123393,123203
20-Apr,4호선,426,서울역,218806,310842,27475,30960
20-Apr,4호선,427,숙대입구(갈월),255637,254294,37371,35058
20-Apr,4호선,428,삼각지,85579,96780,16784,17329
20-Apr,4호선,429,신용산,298261,314557,34171,34176
20-Apr,4호선,430,이촌(국립중앙박물관),115901,134635,27303,29917
20-Apr,4호선,431,동작(현충원),43551,46516,18079,17799
20-Apr,4호선,432,총신대입구(이수),344823,381855,102538,107354
20-Apr,4호선,433,사당,526619,447706,58257,56341
20-Apr,4호선,434,남태령,18498,14649,6268,5959
20-Apr,경부선,1001,서울역,90086,26098,5295,1276
20-Apr,경부선,1002,남영,190239,197689,26697,28194
20-Apr,경부선,1003,용산,624932,644247,81206,80094
20-Apr,경부선,1004,노량진,194040,186736,24501,22813
20-Apr,경부선,1005,대방,245198,247373,45027,44597
20-Apr,경부선,1006,영등포,756695,794174,155686,154708
20-Apr,경부선,1007,신도림,73940,72131,17723,19000
20-Apr,경부선,1032,신길,184868,152109,31136,28185
20-Apr,경부선,1701,구로,336168,348306,64022,62373
20-Apr,경부선,1702,가산디지털단지,360626,418975,24713,28060
20-Apr,경부선,1703,금천구청,208458,202946,55329,56718
20-Apr,경부선,1704,석수,202152,178126,35038,34571
20-Apr,경부선,1705,관악,138687,125521,36714,34856
20-Apr,경부선,1706,안양,430866,431879,78637,82093
20-Apr,경부선,1707,명학,168850,165318,30517,29607
20-Apr,경부선,1708,금정,517555,530987,77304,78710
20-Apr,경부선,1709,군포,142653,140495,27343,26672
20-Apr,경부선,1710,의왕,171632,168978,31836,31948
20-Apr,경부선,1711,성균관대,271765,267486,34596,35375
20-Apr,경부선,1712,화서,139605,133705,27454,26997
20-Apr,경부선,1713,수원,707770,759653,90130,96289
20-Apr,경부선,1714,독산,316860,328090,46063,47355
20-Apr,경부선,1715,세류,59443,55393,10855,10975
20-Apr,경부선,1716,병점,265579,263067,38462,37687
20-Apr,경부선,1717,세마,45798,41051,10333,9586
20-Apr,경부선,1718,오산대,54399,48603,9871,9488
20-Apr,경부선,1719,오산,179405,175831,28084,28993
20-Apr,경부선,1720,진위,27861,24230,5364,4966
20-Apr,경부선,1721,송탄,72519,68382,14280,13830
20-Apr,경부선,1722,서정리,104413,102376,16972,16888
20-Apr,경부선,1723,지제,47929,43441,5629,5217
20-Apr,경부선,1724,평택,211473,210081,40882,39750
20-Apr,경부선,1725,성환,54884,54033,15808,15943
20-Apr,경부선,1726,직산,13513,13714,3489,3385
20-Apr,경부선,1727,두정,87787,89818,12752,12924
20-Apr,경부선,1728,천안,80414,83647,31017,31743
20-Apr,경부선,1729,당정,118548,112214,19620,19074
20-Apr,경부선,1749,서동탄,28802,24840,6154,5873
20-Apr,경부선,1750,광명,58913,49136,5457,4991
20-Apr,경인선,1801,개봉,389529,386990,104164,108159
20-Apr,경인선,1802,오류동,209771,194617,61800,60897
20-Apr,경인선,1803,역곡,526981,517333,108041,110670
20-Apr,경인선,1804,부천,664138,675318,144524,146127
20-Apr,경인선,1805,송내,572006,562744,85936,85360
20-Apr,경인선,1806,부평,642934,703840,97987,98733
20-Apr,경인선,1807,백운,123781,120612,41579,42900
20-Apr,경인선,1808,동암,306445,306171,68639,69022
20-Apr,경인선,1809,주안,400585,364660,61714,56147
20-Apr,경인선,1810,제물포,181212,168037,43484,43394
20-Apr,경인선,1811,동인천,254169,240811,81645,79842
20-Apr,경인선,1812,인천,53084,38640,23493,22030
20-Apr,경인선,1813,구일,111405,112787,29224,28828
20-Apr,경인선,1814,소사,178805,166806,48774,47874
20-Apr,경인선,1815,부개,152993,142154,43942,43438
20-Apr,경인선,1816,간석,103611,97454,30267,28927
20-Apr,경인선,1817,도원,40878,41090,22740,23840
20-Apr,경인선,1821,온수(성공회대입구),111789,109388,31198,31220
20-Apr,경인선,1822,중동,163950,152287,46576,45949
20-Apr,경인선,1823,도화,61136,52887,25809,24685
20-Apr,경원선,1008,이촌(국립중앙박물관),66548,49440,17647,14803
20-Apr,경원선,1009,서빙고,28493,25708,10330,9582
20-Apr,경원선,1010,한남,73372,70141,20475,19247
20-Apr,경원선,1011,옥수,923,639,82,60
20-Apr,경원선,1012,응봉,30157,25666,12511,11414
20-Apr,경원선,1013,왕십리(성동구청),283589,323960,41150,45325
20-Apr,경원선,1014,청량리(서울시립대입구),225703,247643,105303,110716
20-Apr,경원선,1016,외대앞,136255,131791,35432,35609
20-Apr,경원선,1017,신이문,153569,135923,50096,49248
20-Apr,경원선,1018,석계,154024,177080,46067,49773
20-Apr,경원선,1019,광운대,145494,138393,38761,38469
20-Apr,경원선,1020,월계,93956,86413,44314,42587
20-Apr,경원선,1021,녹천,79815,64666,27909,25501
20-Apr,경원선,1022,창동,7,0,0,0
20-Apr,경원선,1901,방학,142688,138303,80103,79715
20-Apr,경원선,1902,도봉,88372,82595,52256,51948
20-Apr,경원선,1903,도봉산,129501,69851,94715,74683
20-Apr,경원선,1904,망월사,111977,115321,49529,51473
20-Apr,경원선,1905,회룡,183486,179454,94473,94935
20-Apr,경원선,1906,의정부,334166,347963,72519,73289
20-Apr,경원선,1907,가능,108463,102037,39266,38583
20-Apr,경원선,1908,녹양,79336,74767,25039,24257
20-Apr,경원선,1909,양주,136004,126509,41856,41669
20-Apr,경원선,1910,덕계,40538,35393,13450,13170
20-Apr,경원선,1911,덕정,97639,94213,26592,26600
20-Apr,경원선,1912,지행,106943,104732,29339,28985
20-Apr,경원선,1913,동두천중앙,45900,43426,24913,25392
20-Apr,경원선,1914,보산,23292,20687,10053,9613
20-Apr,경원선,1915,동두천,24860,29548,15718,22378
20-Apr,경원선,1916,소요산,27338,21590,53774,45844
20-Apr,안산선,1751,산본,318547,341048,66858,67295
20-Apr,안산선,1752,대야미,100396,85982,24710,22764
20-Apr,안산선,1753,반월,82227,76541,21498,21036
20-Apr,안산선,1754,상록수,367988,356307,54734,55594
20-Apr,안산선,1755,한대앞,144677,143509,25687,25714
20-Apr,안산선,1756,중앙,318891,341557,34581,33836
20-Apr,안산선,1757,고잔,159038,153918,22906,22331
20-Apr,안산선,1758,초지,82614,80700,10125,10124
20-Apr,안산선,1759,안산,253353,228480,26941,24314
20-Apr,안산선,1760,신길온천,29924,27020,7124,6947
20-Apr,안산선,1761,정왕,138381,147605,16845,18375
20-Apr,안산선,1762,오이도,182902,177651,27236,27055
20-Apr,안산선,1763,수리산,75609,61139,24943,24594
20-Apr,과천선,1450,선바위,169160,148550,23126,22786
20-Apr,과천선,1451,경마공원,19729,19685,6943,6487
20-Apr,과천선,1452,대공원,46803,51211,30842,31963
20-Apr,과천선,1453,과천,86982,76831,21804,20751
20-Apr,과천선,1454,정부과천청사,166115,165061,30754,30281
20-Apr,과천선,1455,인덕원,467082,470839,68704,70892
20-Apr,과천선,1456,평촌,344115,339833,43370,43834
20-Apr,과천선,1457,범계,526677,514157,68140,66208
20-Apr,분당선,1023,선릉,243929,393466,28346,38787
20-Apr,분당선,1024,한티,248149,259154,41135,41192
20-Apr,분당선,1025,도곡,104496,104278,24513,23821
20-Apr,분당선,1026,구룡,20888,20738,8581,8623
20-Apr,분당선,1027,개포동,56116,59165,13775,14162
20-Apr,분당선,1028,대모산입구,54002,49478,19087,18809
20-Apr,분당선,1030,수서,248660,256679,41337,42859
20-Apr,분당선,1031,복정,10,0,0,0
20-Apr,분당선,1846,수원,158892,111012,17853,11001
20-Apr,분당선,1847,서울숲,206356,215295,19256,18401
20-Apr,분당선,1848,압구정로데오,348781,402113,29522,28473
20-Apr,분당선,1849,강남구청,170902,200981,23680,25805
20-Apr,분당선,1850,선정릉,150792,164528,18237,17465
20-Apr,분당선,1851,가천대,130806,149594,18220,19711
20-Apr,분당선,1852,태평,252188,237882,64378,67155
20-Apr,분당선,1853,모란,363512,362926,120145,132881
20-Apr,분당선,1854,야탑,463441,491539,93865,93121
20-Apr,분당선,1855,서현,453112,463142,73874,71665
20-Apr,분당선,1856,수내,227761,227314,44262,42390
20-Apr,분당선,1857,정자,308411,331104,42360,42080
20-Apr,분당선,1858,미금,268476,286046,67008,70797
20-Apr,분당선,1859,오리,205746,172328,48429,42020
20-Apr,분당선,1860,이매,88667,83712,25614,24798
20-Apr,분당선,1861,보정,37857,30820,11715,11307
20-Apr,분당선,1862,죽전,249897,272929,42425,44472
20-Apr,분당선,1863,구성,80476,82426,21448,21922
20-Apr,분당선,1864,신갈,76599,74770,16188,16509
20-Apr,분당선,1865,기흥,178779,168722,25766,25425
20-Apr,분당선,1866,상갈,95911,90487,19226,18642
20-Apr,분당선,1867,청명,72627,67426,11648,11857
20-Apr,분당선,1868,영통,155381,157625,17295,17322
20-Apr,분당선,1869,망포,265721,249103,22073,21198
20-Apr,분당선,1870,매탄권선,84344,78999,10807,10416
20-Apr,분당선,1871,수원시청,226204,256567,24309,24750
20-Apr,분당선,1872,매교,37207,37889,10561,11022
20-Apr,일산선,1948,원흥,168766,155141,37649,36907
20-Apr,일산선,1949,지축,4,0,0,0
20-Apr,일산선,1950,삼송,338220,320190,66599,66473
20-Apr,일산선,1951,원당,200259,186829,59343,58650
20-Apr,일산선,1952,화정,308000,319054,80416,82582
20-Apr,일산선,1953,대곡,32045,23459,9927,9443
20-Apr,일산선,1954,백석,180890,182306,51945,50681
20-Apr,일산선,1955,마두,118436,122819,43497,44305
20-Apr,일산선,1956,정발산,137225,145048,33816,31441
20-Apr,일산선,1957,주엽,134642,135281,53625,55279
20-Apr,일산선,1958,대화,241593,185840,51962,48389
20-Apr,중앙선,1015,회기,442101,424229,89174,87656
20-Apr,중앙선,1201,중랑,94107,89218,37703,37099
20-Apr,중앙선,1202,상봉(시외버스터미널),113815,110981,30511,29385
20-Apr,중앙선,1203,망우,126337,120881,51649,52299
20-Apr,중앙선,1204,양원,22066,22547,11949,12062
20-Apr,중앙선,1205,구리,253449,259524,62381,62672
20-Apr,중앙선,1206,도농,175244,157459,42343,41223
20-Apr,중앙선,1207,양정,14621,12516,7543,7097
20-Apr,중앙선,1208,덕소,100533,99384,34798,34942
20-Apr,중앙선,1209,도심,45222,34192,14404,13587
20-Apr,중앙선,1210,팔당,23733,25349,7689,7839
20-Apr,중앙선,1211,운길산,19672,17758,11198,10958
20-Apr,중앙선,1212,양수,32519,31947,16502,16739
20-Apr,중앙선,1213,신원,4060,2979,3714,3191
20-Apr,중앙선,1214,국수,10861,10729,8089,8291
20-Apr,중앙선,1215,아신,10157,9976,4686,4663
20-Apr,중앙선,1216,오빈,4257,4057,3286,3267
20-Apr,중앙선,1217,양평,43537,43991,22115,22626
20-Apr,중앙선,1218,원덕,5097,4973,5517,5395
20-Apr,중앙선,1219,용문,24167,25313,27378,27710
20-Apr,중앙선,1220,지평,500,450,790,804
20-Apr,장항선,1401,봉명,16677,15813,7671,7414
20-Apr,장항선,1402,쌍용(나사렛대),31426,28779,7701,7126
20-Apr,장항선,1403,아산,46215,42973,6560,6207
20-Apr,장항선,1405,배방,16960,15733,4288,4221
